Unnamed: 0,Nombre,Provincia,Zona,Zona Unificada,Web,Tienda,Tech Stack,Grupo,Mercado Fuerte,% de Exportación,B2B,Vol. Anual (L),Tamaño,Líneas,ETIQ.
18,Alto Limay,Mendoza,Las Paredes,San Rafael,altolimaywines.com.ar,bodegasecreto.mitiendanube.com,Tiendanube,Indep.,Arg,15%,Nac,85.000,Boutique,2.0,9.0
19,Alto Salvador,Mendoza,Alto Salvador,San Martín,altosalvador.com,tiendaaltoslashormigas.com.ar,Tiendanube,Indep.,Arg,15%,Nac,2.500.000,Grande,5.0,26.0
20,Altos Las Hormigas,Mendoza,El Carrizal,Luján de Cuyo,altoslashormigas.com,tiendaaltoslashormigas.com.ar,Tiendanube,Indep.,Ext,70%,Intl,1.500.000,Mediana,5.0,25.0
21,AMADEO MARAÑON S.A.,Mendoza,San José,Tupungato,bodegasmaranon.com.ar,No tiene,No aplica,Indep.,Arg,20%,Nac,5.000.000,Grande,10.0,55.0
22,Ambrosía,Mendoza,Gualtallary,Tupungato,fincaambrosia.com,No tiene,No aplica,Indep.,Ext,50%,Intl,140.000,Boutique,3.0,15.0
23,Anaia,Mendoza,Agrelo,Luján de Cuyo,anaiawines.com,No tiene,No aplica,Indep.,Arg,10%,Reg,250.000,Boutique,4.0,18.0
24,Andeluna Cellars,Mendoza,Gualtallary,Tupungato,andeluna.com.ar,No tiene,No aplica,Indep.,Arg/Ext,45%,Intl,1.800.000,Grande,6.0,35.0
25,Antigal,Mendoza,Russell,Maipú,antigal.com,tienda.antigal.com,Shopify,Indep.,Ext,65%,Intl,3.000.000,Grande,8.0,42.0
26,Antucura,Mendoza,Vista Flores,Tunuyán,antucura.com,antucura.com,WooCommerce,Indep.,Arg,20%,Nac,220.000,Boutique,4.0,16.0
27,Araujo,Mendoza,Villa Atuel,San Rafael,bodegaaraujo.com.ar,bodegaaraujo.com.ar/productos,Tiendanube,Indep.,Arg,15%,Nac,400.000,Mediana,4.0,20.0
28,Argana,Mendoza,Atuel Norte,San Rafael,arganawines.com.ar,No tiene,No aplica,Indep.,Mza,0%,DTC,12.000,Proyecto,1.0,4.0
29,Argento,Mendoza,Agrelo,Luján de Cuyo,bodegaargento.com,tienda.grupoavinea.com,Shopify,Gpo. Avinea,Ext,60%,Intl,8.000.000,Grande,12.0,60.0
30,Atamisque,Mendoza,San José,Tupungato,bodegaatamisque.com,No tiene,No aplica,Indep.,Arg/Ext,40%,Intl,650.000,Mediana,5.0,28.0
31,Atilio Avena,Mendoza,Villa Seca,Tunuyán,atilioavena.com,bodegaatilioavena.mitiendanube.com,Tiendanube,Indep.,Arg,20%,Nac,350.000,Mediana,4.0,19.0
32,Bandini (Finca Bandini),Mendoza,Las Compuertas,Luján de Cuyo,fincabandini.com,fincabandini.com/shop,WooCommerce,Indep.,Mza/Arg,5%,DTC,90.000,Boutique,3.0,11.0
33,Barberis (Bodega Barberis),Mendoza,El Sauce,Guaymallén,bodegabarberis.com,pedix.app/bodega-barberis,Pedix,Indep.,Arg,20%,Nac,1.100.000,Mediana,6.0,30.0
34,BARRY WAYNE MORGAN (Familia Morgan),Mendoza,Las Paredes,San Rafael,familiamorgan.wine,No tiene,No aplica,Indep.,Mza,5%,DTC,45.000,Proyecto,2.0,8.0
35,Bataraz,Mendoza,Lunlunta,Maipú,No tiene,No tiene,No aplica,Indep.,Mza,0%,DTC,10.000,Proyecto,1.0,3.0
36,Baudron,Mendoza,Agrelo,Luján de Cuyo,bodegasbaudron.com,tienda.bodegasbaudron.com,WooCommerce,Indep.,Arg,25%,Nac,1.500.000,Mediana,7.0,35.0
37,Belasco de Baquedano,Mendoza,Agrelo,Luján de Cuyo,belascodebaquedano.com,No tiene,No aplica,Gpo. Belasce,Ext,50%,Intl,800.000,Mediana,4.0,24.0
38,Belhara Estate,Mendoza,Agrelo,Luján de Cuyo,belharaestate.com,No tiene,No aplica,Indep.,Arg,15%,Nac,350.000,Mediana,4.0,17.0
39,Bemberg (Bemberg Estate Wines) - Grupo Peñaflor,Mendoza,Gualtallary,Tunuyán,bembergestatewines.com,vinosyspirits.com,Shopify,Gpo. Peñaflor,Ext,70%,Bout,85.000,Boutique,3.0,10.0
40,Benegas,Mendoza,Mayor Drummond,Luján de Cuyo,benegaswinery.com,No tiene,No aplica,Indep.,Arg/Ext,35%,Intl,500.000,Mediana,5.0,22.0
41,Bermejo State,Mendoza,Bermejo,Bermejo,bermejostate.com.ar,No tiene,No aplica,Indep.,Mza,5%,DTC,20.000,Proyecto,2.0,6.0
42,BERRUTI Y CHINI S.A.,Mendoza,Chapanay,San Martín,No tiene,No tiene,No aplica,Indep.,Arg,10%,Nac,4.000.000,Grande,7.0,40.0
43,Beth (Finca Beth),Mendoza,Paraje Altamira,San Carlos,No tiene,No tiene,No aplica,Indep.,Mza,5%,DTC,18.000,Proyecto,1.0,5.0
44,Bianchi (Bodegas Bianchi),Mendoza,Alto Las Paredes,San Rafael,bodegasbianchi.com.ar,bodegasbianchi.com.ar,Shopify,Indep.,Arg,30%,Intl,13.000.000,Grande,15.0,80.0
45,Bira Wines,Mendoza,La Arboleda,Tupungato,birawines.com,No tiene,No aplica,Indep.,Arg,10%,Reg,40.000,Proyecto,2.0,9.0
46,Bizzotto Family Wines,Mendoza,Gualtallary,Tupungato,No tiene,No tiene,No aplica,Indep.,Mza,0%,DTC,15.000,Proyecto,1.0,4.0
47,Blanchard & Lurton,Mendoza,Los Chacayes,Tunuyán,blanchardylurton.com,blanchardylurton.com/collections/all,Shopify,Indep.,Arg/Ext,35%,Bout,60.000,Boutique,2.0,7.0
48,Bocanada Wines,Mendoza,Vistalba,Luján de Cuyo,bocanadawines.com,No tiene,No aplica,Indep.,Mza,0%,DTC,12.000,Proyecto,1.0,3.0
49,Bombal,Mendoza,Lunlunta,Maipú,bodegabombal.com,bodegabombal.com/tienda,WooCommerce,Indep.,Arg,15%,Nac,200.000,Boutique,4.0,15.0
50,Bonfanti,Mendoza,Perdriel,Luján de Cuyo,vinosbonfanti.com.ar,https://www.vinosbonfanti.com.ar/tienda/,WooCommerce,Indep.,Arg,10%,Nac,110.000,Boutique,3.0,12.0
51,Bournett - Dijon,Mendoza,Cuadro Nacional,San Rafael,bournett.com.ar,bournett.com.ar,Tiendanube,Indep.,Arg,15%,Nac,250.000,Boutique,4.0,18.0
52,Boutique Chayee Bourras,Mendoza,Cuadro Benegas,San Rafael,bodegabourras.com.ar,No tiene,No aplica,Indep.,Mza,5%,Reg,50.000,Boutique,2.0,10.0
53,Bressia,Mendoza,Agrelo,Luján de Cuyo,bressiabodega.com,No tiene,No aplica,Indep.,Arg,20%,Nac,300.000,Boutique,5.0,20.0
54,BRUJERIAS WINE ESTATE SA.,Mendoza,Cañada Seca,San Rafael,bodegabrujerias.com/,bodegabrujerias.com/nuestros-vinos-2,WooCommerce,Indep.,Arg,10%,Reg,80.000,Boutique,3.0,11.0
55,Budeguer,Mendoza,Agrelo,Luján de Cuyo,budeguer.com,tienda.bodegabudeguer.com,Shopify,Indep.,Arg,30%,Intl,600.000,Mediana,5.0,25.0
56,Buono B,Mendoza,San Martín,San Martín,buonob.com.ar/wp/,buonob.com.ar/wp/index.php/tienda,WooCommerce,Indep.,Mza,0%,DTC,20.000,Proyecto,2.0,6.0
57,Cabrini,Mendoza,Perdriel,Luján de Cuyo,cabrini.com.ar,tienda.cabrini.com.ar,Tiendanube,Indep.,Arg,15%,Nac,850.000,Mediana,6.0,28.0
58,Cadus Wines - Grupo Peñaflor,Mendoza,Carrodilla,Luján de Cuyo,caduswines.com,vinosyspirits.com,Shopify,Gpo. Peñaflor,Arg/Ext,40%,Intl,350.000,Mediana,4.0,16.0
59,Caelum,Mendoza,Agrelo,Luján de Cuyo,bodegacaelum.com.ar,bodegacaelum.com.ar/tienda,WooCommerce,Indep.,Arg,15%,Nac,180.000,Boutique,3.0,14.0
60,CALLE,Mendoza,Mayor Drummond,Luján de Cuyo,bodegacalle.com/sp/,No tiene,No aplica,Indep.,Arg,10%,Nac,120.000,Boutique,3.0,12.0
61,Callejón del Crimen,Mendoza,Los Chacayes,Tunuyán,callejondelcrimen.com,No tiene,No aplica,Indep.,Arg,30%,Intl,900.000,Mediana,6.0,30.0
62,Cánepa Martin,Mendoza,Chacras de Coria,Luján de Cuyo,canepamartin.com,No tiene,No aplica,Indep.,Mza,5%,DTC,45.000,Proyecto,2.0,8.0
63,Canteros Wines,Mendoza,Vista Flores,Tunuyán,canteroswines.com,tienda.canteroswines.com,Tiendanube,Indep.,Mza,5%,DTC,30.000,Proyecto,2.0,7.0
64,Carelli,Mendoza,Reducción,Rivadavia,bodegacarelli.com.ar,bodegacarelli.com.ar/tienda-2/,WooCommerce,Indep.,Arg,15%,Nac,2.500.000,Grande,7.0,38.0
65,CarinaE Viñedos & Bodega,Mendoza,Cruz de Piedra,Maipú,No tiene,No tiene,No aplica,Indep.,Arg,15%,Nac,150.000,Boutique,3.0,15.0
66,Carmelo Patti (El Lagar),Mendoza,Mayor Drummond,Luján de Cuyo,bodegacarmelopatti.com,No tiene,No aplica,Indep.,Arg,5%,Reg,80.000,Boutique,2.0,6.0
67,Carmine Granata,Mendoza,Agrelo,Luján de Cuyo,bgacarminegranata.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,80.000,Boutique,2.0,6.0
68,Caro,Mendoza,Godoy Cruz,Godoy Cruz,https://www.lafite.com/es/domaines/bodegas-caro-es/,No tiene,No aplica,LVMH,Ext,70%,Intl,400.000,Mediana,4.0,18.0
69,CARUSO HNOS,Mendoza,Los Árboles,Rivadavia,familiacaruso.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,1.800.000,Grande,6.0,32.0
70,Casa de Uco Vineyards,Mendoza,Los Chacayes,Tunuyán,casadeuco.com,casadeuco.com/tienda-online,WooCommerce,Indep.,Ext,60%,Intl,1.800.000,Grande,6.0,32.0
71,Casa Vigil (El Enemigo),Mendoza,Chachingo,Maipú,enemigowines.com,No tiene,No aplica,Indep.,Arg/Ext,50%,Intl,150.000,Boutique,4.0,16.0
72,Casarena,Mendoza,Perdriel,Luján de Cuyo,casarena.com,Custom,Whatsapp,Indep.,Arg/Ext,45%,Intl,800.000,Mediana,5.0,25.0
73,CASIR DOS SANTOS S.R.L.,Mendoza,Fray Luis Beltrán,Maipú,bodegacasirdossantos.com/es/home-esp/,No tiene,No aplica,Indep.,Arg,20%,Nac,1.200.000,Mediana,6.0,30.0
74,Catena Zapata,Mendoza,Agrelo,Luján de Cuyo,catenazapata.com,No tiene,No aplica,Catena Fam.,Ext,70%,Intl,600.000,Mediana,5.0,22.0
75,CAVAS LA CAPILLA,Mendoza,Santa Blanca,Maipú,cavaslacapilla.com/,https://cavaslacapilla.com/tienda/,WooCommerce,Indep.,Arg,10%,Nac,10.500.000,Grande,12.0,75.0
76,Chaglasian,Mendoza,Las Paredes,San Rafael,chaglasianwinery.com,chaglasianwinery.com/tienda,Whatsapp,Indep.,Arg,15%,Nac,250.000,Boutique,4.0,15.0
77,Chakana Wines,Mendoza,Agrelo,Luján de Cuyo,chakanawines.com,chakanawines.com.ar,Tiendanube,Gpo. Avinea,Arg/Ext,40%,Intl,90.000,Boutique,3.0,10.0
78,Chandon,Mendoza,Agrelo,Luján de Cuyo,chandon.com.ar,No tiene,No aplica,LVMH,Arg,30%,Intl,1.500.000,Mediana,6.0,28.0
79,Cheval Des Andes,Mendoza,Las Compuertas,Luján de Cuyo,chevaldesandes.com,No tiene,No aplica,LVMH,Ext,80%,Intl,80.000,Boutique,8.0,40.0
80,Cicchitti,Mendoza,Rodeo de la Cruz,Guaymallén,bodegacicchitti.com/,bodegacicchitti.mitiendanube.com,Tiendanube,Indep.,Arg,15%,Nac,120.000,Boutique,2.0,6.0
81,Cielo y Tierra,Mendoza,Lunlunta,Maipú,cieloytierrasa.com.ar/,No tiene,No aplica,Indep.,Arg,15%,Nac,450.000,Mediana,4.0,20.0
82,Cimarrón Wines,Mendoza,Las Compuertas,Luján de Cuyo,cimarronwinesco.com,cimarronwinesco.com/tienda,WooCommerce,Indep.,Mza,5%,Reg,180.000,Boutique,3.0,12.0
83,Cinco Sentidos,Mendoza,Russell,Maipú,cinco-sentidos.com.ar,cincosentidos.ar/catalogo,Whatsapp,Indep.,Arg,15%,Nac,40.000,Proyecto,2.0,7.0
84,Clément,Mendoza,Algarrobo Grande,Junín,No tiene,No tiene,No aplica,Indep.,Arg,20%,Nac,350.000,Mediana,4.0,18.0
85,Clop Wines,Mendoza,Fray Luis Beltrán,Maipú,bodegadelosclop.com,tienda.clopwines.com,WooCommerce,Indep.,Arg,20%,Nac,1.800.000,Grande,6.0,32.0
86,Clos de Chacras,Mendoza,Chacras de Coria,Luján de Cuyo,closdechacras.com.ar,closdechacras.mitiendanube.com,Tiendanube,Indep.,Arg,15%,Nac,900.000,Mediana,5.0,24.0
87,Clos De Los Siete,Mendoza,Vista Flores,Tunuyán,closdelossiete.com,tienda.closdelossiete.com/,Tiendanube,C. de los 7,Ext,80%,Intl,280.000,Boutique,4.0,16.0
88,Club Tapiz - Fincas Patagónicas,Mendoza,Russell,Maipú,tapiz.com.ar,No tiene,No aplica,Fincas Pat.,Arg/Ext,45%,Intl,2.000.000,Grande,5.0,10.0
89,Colosso Wines,Mendoza,Perdriel,Luján de Cuyo,colossowines.com,No tiene,No aplica,Indep.,Arg,20%,Nac,1.500.000,Mediana,6.0,30.0
90,Conalbi Grinberg,Mendoza,Vistalba,Luján de Cuyo,conalbigrinberg.com,No tiene,No aplica,Indep.,Mza,5%,DTC,850.000,Mediana,5.0,26.0
91,Corazón del Sol,Mendoza,Los Chacayes,Tunuyán,corazondelsol.com,corazondelsol.com,Commerce7,Indep.,Ext,50%,Intl,60.000,Boutique,2.0,8.0
92,Corbeau Wines,Mendoza,Maipú,Maipú,corbeauwines.com/,corbeau.mitiendanube.com,Tiendanube,Indep.,Arg,30%,Intl,110.000,Boutique,3.0,12.0
93,Corvus Wines,Mendoza,Agrelo,Luján de Cuyo,No tiene,No tiene,No aplica,Indep.,Arg,10%,Reg,2.200.000,Grande,6.0,35.0
94,Cruz de Piedra,Mendoza,Cruz de Piedra,Maipú,No tiene,No tiene,No aplica,Indep.,Arg,25%,Nac,90.000,Boutique,3.0,10.0
95,Cruzat,Mendoza,Perdriel,Luján de Cuyo,bodegacruzat.com,cruzat.mitiendanube.com,Tiendanube,Indep.,Arg,35%,Intl,4.500.000,Grande,8.0,42.0
96,Cuadro Benegas S.A.,Mendoza,Mayor Drummond,Luján de Cuyo,fincacuadrobenegas.com.ar/,No tiene,No aplica,Indep.,Arg,15%,Nac,350.000,Mediana,4.0,16.0
97,Cuarto Dominio,Mendoza,Agrelo,Luján de Cuyo,cuartodominio.com.ar,cuartodominio.empretienda.com.ar,Empretienda,Indep.,Arg/Ext,40%,Intl,280.000,Boutique,3.0,14.0
98,Cundo Altamira,Mendoza,Paraje Altamira,San Carlos,No tiene,No tiene,No aplica,Indep.,Mza,0%,DTC,15.000,Proyecto,1.0,3.0
99,Cuvelier Los Andes,Mendoza,Vista Flores,Tunuyán,cuvelierlosandes.com,cuvelierlosandes.com/tienda,Custom,C. de los 7,Ext,70%,Intl,400.000,Mediana,4.0,15.0
100,Dante Robino,Mendoza,Perdriel,Luján de Cuyo,bodegadanterobino.com,No tiene,No aplica,Indep.,Arg,20%,Intl,6.500.000,Grande,9.0,45.0
101,David Catena Wines,Mendoza,Agrelo,Luján de Cuyo,No tiene,No tiene,No aplica,Catena Fam.,Ext,60%,Intl,120.000,Boutique,3.0,12.0
102,De Angeles,Mendoza,Vistalba,Luján de Cuyo,malbecdeangeles.com,No tiene,No aplica,Indep.,Ext,50%,Bout,50.000,Boutique,2.0,8.0
103,De Moño Rojo,Mendoza,Los Chacayes,Tunuyán,bodegasdmr.com/,No tiene,No aplica,Indep.,Mza,5%,DTC,35.000,Proyecto,2.0,6.0
104,Decero,Mendoza,Agrelo,Luján de Cuyo,fincadecero.com/,shop.fincadecero.com,Tiendanube,Indep.,Ext,65%,Intl,500.000,Mediana,4.0,18.0
105,del Nunca Jamás,Mendoza,Tunuyán,Tunuyán,postalesarg.com/la-bodega-postales/es/,No tiene,No aplica,Indep.,Mza,0%,DTC,18.000,Proyecto,1.0,4.0
106,Desquiciado Wines,Mendoza,Gualtallary,Tupungato,desquiciado.com/,No tiene,No aplica,Indep.,Arg,15%,Reg,85.000,Boutique,3.0,12.0
107,DiamAndes (Clos de los Siete),Mendoza,Vista Flores,Tunuyán,diamandes.com/,bodegadiamandes.store/,Tiendanube,C. de los 7,Ext,70%,Intl,650.000,Mediana,5.0,22.0
108,Divendres,Mendoza,Los Barriales,Junín,divendres.com.ar/,No tiene,No aplica,Indep.,Arg,15%,Nac,1.100.000,Mediana,5.0,25.0
109,Dolium,Mendoza,Agrelo,Luján de Cuyo,dolium.com,No tiene,No aplica,Indep.,Arg,25%,Nac,300.000,Boutique,4.0,16.0
110,Domaine Bousquet,Mendoza,Gualtallary,Tupungato,domainebousquet.com/,tienda.domainebousquet.com,Shopify,Indep.,Ext,75%,Intl,3.500.000,Grande,7.0,40.0
111,Domaine Le Billoud,Mendoza,Cruz de Piedra,Maipú,domainelebilloud.com/,domainelebilloud.com/shop,WooCommerce,Indep.,Arg,15%,Nac,250.000,Boutique,3.0,14.0
112,Domaine Nico,Mendoza,Gualtallary,Tupungato,domainenico.com/,No tiene,No aplica,Catena Fam.,Ext,60%,Bout,60.000,Boutique,2.0,7.0
113,Domaine St. Diego,Mendoza,Lunlunta,Maipú,domainestdiego.com/,No tiene,No aplica,Indep.,Mza,5%,DTC,45.000,Proyecto,2.0,8.0
114,Domiciano de Barrancas,Mendoza,Coquimbito,Maipú,domiciano.com.ar/,No tiene,No aplica,Indep.,Arg,15%,Nac,400.000,Mediana,4.0,18.0
115,DON ANTOLIN S.R.L.,Mendoza,Buen Orden,San Martín,bodegadonantolin.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,2.500.000,Grande,6.0,32.0
116,Don Bosco,Mendoza,Maipú,Maipú,bodegadonbosco.com.ar/,No tiene,No aplica,Indep.,Arg,15%,Nac,800.000,Mediana,5.0,28.0
117,Don Carlos,Mendoza,Tupungato,Tupungato,fincadoncarlos.com,No tiene,No aplica,Indep.,Arg,15%,Nac,150.000,Boutique,3.0,12.0
118,DON CAYETANO S.A.,Mendoza,Santa María de Oro,Rivadavia,doncayetano.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,1.800.000,Grande,5.0,25.0
119,Don Cristóbal,Mendoza,Ugarteche,Luján de Cuyo,doncristobal.com.ar,cristobal.com.ar/,Magento,Indep.,Ext,60%,Intl,1.500.000,Mediana,6.0,30.0
120,DON GERARDO S.A.,Mendoza,San Martín,San Martín,familianavarro.com.ar,familianavarro.com.ar/tienda,Whatsapp,Indep.,Arg,20%,Nac,3.200.000,Grande,7.0,38.0
121,Don Manuel Villafañe,Mendoza,El Paraíso,Maipú,No tiene,No tiene,No aplica,Indep.,Arg,20%,Nac,450.000,Mediana,4.0,18.0
122,DON OCTAVIO SRL.,Mendoza,Las Paredes,San Rafael,No tiene,No tiene,No aplica,Indep.,Arg,15%,Nac,280.000,Boutique,3.0,15.0
123,Doña Paula,Mendoza,Ugarteche,Luján de Cuyo,donapaula.com/,No tiene,No aplica,Indep.,Ext,75%,Intl,5.500.000,Grande,9.0,45.0
124,Dos Familias,Mendoza,Carrodilla,Luján de Cuyo,bodegadosfamilias.com,No tiene,No aplica,Indep.,Arg,10%,Reg,80.000,Boutique,2.0,9.0
125,Duret,Mendoza,San Rafael,San Rafael,bodegaduret.com,bodegaduret.mitiendanube.com,Tiendanube,Indep.,Mza,5%,DTC,40.000,Proyecto,2.0,6.0
126,Durigutti Family Winemakers,Mendoza,Las Compuertas,Luján de Cuyo,durigutti.com/,tienda.durigutti.com,WooCommerce,Indep.,Arg/Ext,45%,Intl,1.200.000,Mediana,6.0,32.0
127,Eclipse,Mendoza,Coquimbito,Maipú,bodegaeclipse.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,200.000,Boutique,3.0,12.0
128,Edelmira,Mendoza,San Martín,San Martín,bodegaedelmira.com/,No tiene,No aplica,Indep.,Mza,5%,DTC,65.000,Boutique,2.0,8.0
129,El Bayeh,Mendoza,Ingeniero Giagnoni,San Martín,bodegaelbayeh.com.ar,No tiene,No aplica,Indep.,Arg,15%,Nac,450.000,Mediana,4.0,16.0
130,El Cerno,Mendoza,Maipú,Maipú,viñaelcerno.com,vinaelcerno.mitiendanube.com,Tiendanube,Indep.,Arg,10%,Reg,90.000,Boutique,3.0,10.0
131,El Nevado,Mendoza,Rama Caída,San Rafael,fincaelnevado.com/,https://fincaelnevado.com/nuestros-vinos/,Whatsapp,Indep.,Arg,15%,Nac,350.000,Mediana,4.0,18.0
132,El Origen,Mendoza,Los Chacayes,Tunuyán,fincaelorigen.com,No tiene,No aplica,Indep.,Ext,65%,Intl,1.500.000,Mediana,6.0,28.0
133,El Relator Wines,Mendoza,Agrelo,Luján de Cuyo,relatorwines.com.ar/,No tiene,No aplica,Indep.,Arg,15%,Nac,120.000,Boutique,3.0,14.0
134,EMILCA S.A.,Mendoza,La Libertad,Rivadavia,emilca.com.ar,emilca.com.ar,Empretienda,Indep.,Arg,10%,Nac,2.800.000,Grande,7.0,40.0
135,Entrometido Wines,Mendoza,Los Árboles,Tunuyán,entrometidowines.com/,entrometidowines.com/tienda,WooCommerce,Indep.,Mza,5%,DTC,25.000,Proyecto,2.0,5.0
136,Escala Humana Wines,Mendoza,El Zampal,Tupungato,escalahumanawines.com,No tiene,No aplica,Indep.,Arg,15%,Reg,40.000,Proyecto,2.0,7.0
137,Escorihuela,Mendoza,Godoy Cruz,Godoy Cruz,escorihuelagascon.com,tienda.escorihuela.com,VTEX,Indep.,Arg/Ext,45%,Intl,4.500.000,Grande,8.0,45.0
138,Esmeralda,Mendoza,Junín,Junín,bodegasesmeralda.com.ar,No tiene,No aplica,Indep.,Arg,20%,Nac,12.000.000,Grande,10.0,60.0
139,Estancia Mendoza,Mendoza,San Martín,San Martín,estanciamendoza.com.ar,No tiene,No aplica,Fecovita,Arg,15%,Nac,24.000.000,Grande,12.0,70.0
140,Etnia,Mendoza,Rama Caída,San Rafael,bodegaetnia.com,bodegaetnia.com/tienda,WooCommerce,Indep.,Mza,5%,Reg,60.000,Boutique,2.0,8.0
141,Fabre (Fabre Montmayou),Mendoza,Vistalba,Luján de Cuyo,fabremontmayou.com,No tiene,No aplica,Indep.,Ext,65%,Intl,1.800.000,Grande,6.0,32.0
142,Familia Blanco,Mendoza,Ugarteche,Luján de Cuyo,familiablancowines.com,bodegafamiliablanco.com,Tiendanube,Indep.,Arg,20%,Nac,350.000,Mediana,4.0,18.0
143,Familia Cassone,Mendoza,Mayor Drummond,Luján de Cuyo,familiacassone.com.ar,familiacassone.com.ar/tienda,Tiendanube,Indep.,Arg/Ext,40%,Intl,450.000,Mediana,4.0,20.0
144,Familia Cecchin,Mendoza,Russell,Maipú,bodegacecchin.com.ar,bodegacecchin.com.ar/tienda,WixCommerce,Indep.,Arg,20%,Nac,300.000,Boutique,4.0,16.0
145,Familia Crotta,Mendoza,Palmira,San Martín,crotta.com.ar,familiacrotta.mitiendanube.com,Tiendanube,Indep.,Arg,10%,Nac,8.500.000,Grande,10.0,55.0
146,Familia Di Tommaso,Mendoza,Russell,Maipú,No tiene,No tiene,No aplica,Indep.,Arg,10%,Nac,120.000,Boutique,3.0,12.0
147,Familia Furlan,Mendoza,La Consulta,San Carlos,familia-furlan.com/,No tiene,No aplica,Indep.,Arg,15%,Nac,180.000,Boutique,3.0,15.0
148,Familia Garavaglia,Mendoza,San Carlos,San Carlos,familiagaravaglia.com,No tiene,No aplica,Indep.,Arg,15%,Nac,220.000,Boutique,4.0,18.0
149,Familia Mastrantonio,Mendoza,Los Chacayes,Tunuyán,mastrantoniowines.com,familiamastrantonio.com/collection,Custom,Indep.,Arg,15%,Reg,90.000,Boutique,3.0,12.0
150,Familia Morcos,Mendoza,San Martín,San Martín,familiamorcos.com.ar,No tiene,No aplica,Indep.,Arg,10%,Nac,1.100.000,Mediana,5.0,28.0
151,Familia Zaina,Mendoza,La Consulta,San Carlos,familiazaina.com.ar/,familiazaina.com.ar,Tiendanube,Indep.,Arg,15%,Nac,150.000,Boutique,3.0,14.0
